case,asset,source,path,exists,size,sha256,keys,restored_from,weak_mean,no_change_ratio
0012_11_frame001,V950_smpl_feature_bank_v4,D:\vggt\vggt-canonical-surfel-adapter\output\V940000000000000_smpl_feature_bank\0012_11_frame001\smpl_feature_bank.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V9500000000000000_smpl_feature_bank_v4\0012_11_frame001\smpl_feature_bank_v4.npz,True,3100284,0d44bbb74b0801841cf53133919004b00c362ab4f3957ddf4241eb19b6d0479b,case_id;sequence;frame_index;source_region_npz;world_points;posed_world_xyz;camera_xyz_proxy;rgb;confidence;body_part_id;face_id;barycentric;skinning_weights;joint_relative_coordinates;local_normal;local_tangent;visibility;projection_uv_camera00;projection_depth_camera00;voxel_coords_32;graph_sample_indices;graph_knn_ring;graph_sample_xyz;smpl_feature_image;feature_channel_names;normalization_center;normalization_scale;camera_K_00;camera_RT_00;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;source_label_only;restored_from_v940_feature_bank;v188_asset_restoration,V940 smpl_feature_bank.npz,,
0012_11_frame001,V536_geometry_part_binding_graph,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz;D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0012_11_frame001\repaired_detail_regions_world_rgb.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\0012_11_frame001\mentor_view_geometry_part_graph.npz,True,759194,4075bf74086866d7d0641fcbae9a6057c848d24607b3e077c23832cb2d2e0d89,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;restored_from_v140_v161;v188_asset_restoration,V140 baseline + V161 target,0.5924537181854248,0.45
0012_11_frame001,V161_repaired_detail_regions,,D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0012_11_frame001\repaired_detail_regions_world_rgb.npz,True,940742,1c790dbc0f56b373fd5ec0f66556e1e80b596d811ef45d9852949a69fe19a38f,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2;mask_body_part_3;mask_body_part_4;mask_body_part_5;mask_body_part_6;mask_body_part_7;repaired_region_mapping_v161;source_v812_npz,,,
0012_11_frame001,V140_real_vggt_baseline_only,,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,True,1018140,541d9ad24fe8ff32bed6f82c84deb3131c70602c988aa1300713e0b1045cc019,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,,
0013_01_frame001,V950_smpl_feature_bank_v4,D:\vggt\vggt-canonical-surfel-adapter\output\V940000000000000_smpl_feature_bank\0013_01_frame001\smpl_feature_bank.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V9500000000000000_smpl_feature_bank_v4\0013_01_frame001\smpl_feature_bank_v4.npz,True,3109016,9b6065354d60f0412700fc4b6ca9d5238c432bcc3e9c178beab106962e6a7180,case_id;sequence;frame_index;source_region_npz;world_points;posed_world_xyz;camera_xyz_proxy;rgb;confidence;body_part_id;face_id;barycentric;skinning_weights;joint_relative_coordinates;local_normal;local_tangent;visibility;projection_uv_camera00;projection_depth_camera00;voxel_coords_32;graph_sample_indices;graph_knn_ring;graph_sample_xyz;smpl_feature_image;feature_channel_names;normalization_center;normalization_scale;camera_K_00;camera_RT_00;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;source_label_only;restored_from_v940_feature_bank;v188_asset_restoration,V940 smpl_feature_bank.npz,,
0013_01_frame001,V536_geometry_part_binding_graph,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz;D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0013_01_frame001\repaired_detail_regions_world_rgb.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\0013_01_frame001\mentor_view_geometry_part_graph.npz,True,802240,7c12c1748eee942543ca137c85a7b4303117efb7fdb05b94e6c271bda660211d,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;restored_from_v140_v161;v188_asset_restoration,V140 baseline + V161 target,0.5703891515731812,0.45
0013_01_frame001,V161_repaired_detail_regions,,D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0013_01_frame001\repaired_detail_regions_world_rgb.npz,True,946509,aa6f18f89f263a831d60b1a4b5527f9ed65cec1e1c66e207cdd47b5ab17f980e,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2;mask_body_part_3;mask_body_part_4;mask_body_part_5;mask_body_part_6;mask_body_part_7;repaired_region_mapping_v161;source_v812_npz,,,
0013_01_frame001,V140_real_vggt_baseline_only,,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz,True,1015642,b7feb50e49d822c6119c657e718b04cae6fdbda71aef518401d6b7c351c4666c,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,,
0021_03_frame001,V950_smpl_feature_bank_v4,D:\vggt\vggt-canonical-surfel-adapter\output\V940000000000000_smpl_feature_bank\0021_03_frame001\smpl_feature_bank.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V9500000000000000_smpl_feature_bank_v4\0021_03_frame001\smpl_feature_bank_v4.npz,True,3163444,e0e0d336c4391fb083e65ea3b7855269ec43e9c1cda373af5a709733778b5dc7,case_id;sequence;frame_index;source_region_npz;world_points;posed_world_xyz;camera_xyz_proxy;rgb;confidence;body_part_id;face_id;barycentric;skinning_weights;joint_relative_coordinates;local_normal;local_tangent;visibility;projection_uv_camera00;projection_depth_camera00;voxel_coords_32;graph_sample_indices;graph_knn_ring;graph_sample_xyz;smpl_feature_image;feature_channel_names;normalization_center;normalization_scale;camera_K_00;camera_RT_00;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;source_label_only;restored_from_v940_feature_bank;v188_asset_restoration,V940 smpl_feature_bank.npz,,
0021_03_frame001,V536_geometry_part_binding_graph,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz;D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0021_03_frame001\repaired_detail_regions_world_rgb.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\0021_03_frame001\mentor_view_geometry_part_graph.npz,True,844135,2b2b792c459b1a22b62d121081c14ca905b4de6669daf2b5eb028e27b576b3fa,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;restored_from_v140_v161;v188_asset_restoration,V140 baseline + V161 target,0.4906075596809387,0.27326666666666666
0021_03_frame001,V161_repaired_detail_regions,,D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0021_03_frame001\repaired_detail_regions_world_rgb.npz,True,984559,0073a9b2381f0dedd60b63a515ada64fc55321e6a9f9701cb2f885314e9df4c5,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2;mask_body_part_3;mask_body_part_4;mask_body_part_5;mask_body_part_6;mask_body_part_7;repaired_region_mapping_v161;source_v812_npz,,,
0021_03_frame001,V140_real_vggt_baseline_only,,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,True,1047331,2cbe841ec6e1ac6003527a78913f003591918fba59fdd94cf3ebea42cf75710b,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,,
current_v895_0021_03,V950_smpl_feature_bank_v4,D:\vggt\vggt-canonical-surfel-adapter\output\V940000000000000_smpl_feature_bank\current_v895_0021_03\smpl_feature_bank.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V9500000000000000_smpl_feature_bank_v4\current_v895_0021_03\smpl_feature_bank_v4.npz,True,3163276,083d0536eec75fcc584e8ab992d91e3c5280cf41b45114b534e3ac01847f31f0,case_id;sequence;frame_index;source_region_npz;world_points;posed_world_xyz;camera_xyz_proxy;rgb;confidence;body_part_id;face_id;barycentric;skinning_weights;joint_relative_coordinates;local_normal;local_tangent;visibility;projection_uv_camera00;projection_depth_camera00;voxel_coords_32;graph_sample_indices;graph_knn_ring;graph_sample_xyz;smpl_feature_image;feature_channel_names;normalization_center;normalization_scale;camera_K_00;camera_RT_00;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;source_label_only;restored_from_v940_feature_bank;v188_asset_restoration,V940 smpl_feature_bank.npz,,
current_v895_0021_03,V536_geometry_part_binding_graph,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz;D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\current_v895_0021_03\repaired_detail_regions_world_rgb.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\current_v895_0021_03\mentor_view_geometry_part_graph.npz,True,843358,eb369563ea1dd5562f84c914b183932b1a29da4b39940f815c28ff277a7c2e81,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference;restored_from_v140_v161;v188_asset_restoration,V140 baseline + V161 target,0.49412593245506287,0.27713333333333334
current_v895_0021_03,V161_repaired_detail_regions,,D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\current_v895_0021_03\repaired_detail_regions_world_rgb.npz,True,984321,d4e5c1ae097c1c420ab34eb7b273b42d19c74e32a59144977f7cc3ddf29e9481,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2;mask_body_part_3;mask_body_part_4;mask_body_part_5;mask_body_part_6;mask_body_part_7;repaired_region_mapping_v161;source_v812_npz,,,
current_v895_0021_03,V140_real_vggt_baseline_only,,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,True,1045596,682aad17d4ba2429774a3734cd775552cf9f76ae26cdee9a5baa5ba51b8aadf4,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,,
